iter	RMSE
0	78468.24447
1	75931.12539
2	73506.56563
3	71240.22996
4	69199.81228
5	66996.82026
6	64954.64102
7	63112.60274
8	61249.13824
9	59516.92572
10	57953.85921
11	56369.54588
12	54755.61225
13	53379.61734
14	52038.32825
15	50700.04889
16	49458.63882
17	48353.31436
18	47117.84451
19	45914.66799
20	44894.27563
21	43990.76153
22	43017.90777
23	42077.58967
24	41107.10902
25	40294.84455
26	39575.42073
27	38858.88923
28	38044.11076
29	37393.97913
30	36606.33263
31	35941.75928
32	35295.95182
33	34754.158
34	34126.94227
35	33624.73391
36	33120.3292
37	32622.96535
38	32096.51745
39	31707.65043
40	31264.85282
41	30886.58815
42	30482.97657
43	30052.31757
44	29648.20506
45	29320.68151
46	29028.59887
47	28723.42692
48	28415.31646
49	28120.67236
50	27882.43106
51	27590.3443
52	27351.93466
53	27096.25724
54	26844.1287
55	26614.55803
56	26389.09993
57	26176.52855
58	25976.15467
59	25747.92712
60	25563.27283
61	25403.5366
62	25254.12641
63	25116.05512
64	24933.6552
65	24734.88553
66	24582.14962
67	24440.77789
68	24290.22124
69	24146.98478
70	23994.16123
71	23876.19545
72	23746.70123
73	23621.12381
74	23512.68911
75	23406.30779
76	23308.31511
77	23201.61679
78	23074.58038
79	22961.76663
80	22859.78904
81	22745.07432
82	22640.12794
83	22557.53419
84	22438.67516
85	22350.95412
86	22257.88986
87	22149.38842
88	22073.17329
89	21976.6172
90	21878.05532
91	21806.62112
92	21712.45936
93	21635.63036
94	21557.61409
95	21454.83708
96	21371.38629
97	21286.62189
98	21210.19273
99	21154.68791
100	21091.76629
101	21025.35257
102	20966.45532
103	20913.21086
104	20857.88478
105	20788.51768
106	20711.3656
107	20644.71728
108	20580.08178
109	20521.97573
110	20478.79012
111	20433.08814
112	20357.41382
113	20293.86827
114	20238.43832
115	20173.45172
116	20097.90114
117	20065.92518
118	20007.28167
119	19974.64949
120	19938.59455
121	19902.7286
122	19853.14857
123	19819.73009
124	19774.39303
125	19714.57726
126	19636.77187
127	19606.64194
128	19572.80388
129	19501.07506
130	19446.29638
131	19393.70075
132	19353.56452
133	19311.70769
134	19262.38158
135	19224
136	19172.33637
137	19135.37435
138	19108.83623
139	19064.91163
140	19037.00056
141	18988.75609
142	18939.49019
143	18901.35418
144	18862.56414
145	18807.58149
146	18770.6635
147	18745.66803
148	18719.37054
149	18672.23736
150	18656.3147
151	18624.90991
152	18595.2087
153	18560.48374
154	18508.05815
155	18474.85075
156	18430.20618
157	18416.14404
158	18390.71156
159	18355.56751
160	18313.77294
161	18280.39265
162	18244.20234
163	18203.13617
164	18179.79557
165	18143.77275
166	18104.21833
167	18053.82012
168	18019.9889
169	17985.31329
170	17956.64254
171	17941.0856
172	17911.6106
173	17888.20366
174	17860.19755
175	17825.82445
176	17783.12132
177	17737.12533
178	17702.82975
179	17679.085
180	17632.9522
181	17599.37357
182	17553.7642
183	17530.98175
184	17501.93669
185	17471.09832
186	17423.48359
187	17391.4273
188	17359.71034
189	17323.7881
190	17293.47896
191	17261.19146
192	17246.9271
193	17226.04426
194	17190.5722
195	17162.93843
196	17125.57287
197	17097.22585
198	17062.4166
199	17035.60125
200	16994.18098
201	16969.04402
202	16943.83273
203	16923.26416
204	16899.52634
205	16866.45984
206	16851.52763
207	16823.84212
208	16809.87923
209	16777.97711
210	16753.59809
211	16741.44942
212	16725.6676
213	16707.14715
214	16696.14538
215	16662.72635
216	16626.92703
217	16599.79257
218	16580.25539
219	16545.13265
220	16509.38285
221	16487.81053
222	16477.58476
223	16451.8853
224	16427.61675
225	16420.31082
226	16407.03479
227	16390.8035
228	16350.52753
229	16312.25036
230	16299.38286
231	16276.00829
232	16244.63451
233	16217.12095
234	16203.15977
235	16178.15557
236	16157.83146
237	16143.71409
238	16131.59381
239	16117.98326
240	16088.02961
241	16072.08624
242	16055.2162
243	16038.24194
244	16015.22911
245	15994.53068
246	15957.82641
247	15933.19014
248	15906.18365
249	15883.38857
250	15874.5345
251	15842.90426
252	15822.20801
253	15807.1914
254	15782.01687
255	15768.12871
256	15752.2014
257	15737.0087
258	15696.95174
259	15684.02918
260	15659.15682
261	15650.40704
262	15631.79689
263	15608.12527
264	15604.49911
265	15592.43662
266	15584.95941
267	15565.33189
268	15545.99529
269	15529.56917
270	15518.25318
271	15487.096
272	15480.85722
273	15451.83832
274	15432.08529
275	15424.70608
276	15405.86702
277	15387.24714
278	15373.36994
279	15357.00906
280	15338.18637
281	15330.79454
282	15325.62464
283	15314.56932
284	15292.96531
285	15287.93879
286	15263.5319
287	15240.78613
288	15213.25884
289	15196.81562
290	15186.86739
291	15165.73449
292	15134.90186
293	15119.10692
294	15096.69965
295	15080.07688
296	15070.54222
297	15038.51162
298	15021.06503
299	15008.89475
300	14994.48709
301	14976.06224
302	14964.10205
303	14943.40615
304	14926.88339
305	14917.70553
306	14896.48819
307	14882.9553
308	14867.78512
309	14838.84501
310	14836.07259
311	14817.03525
312	14806.86365
313	14777.86807
314	14769.67042
315	14767.18494
316	14746.58426
317	14740.38714
318	14731.81534
319	14723.74973
320	14721.73819
321	14708.66274
322	14706.43026
323	14685.75899
324	14683.76839
325	14671.70342
326	14645.58392
327	14643.65793
328	14635.73401
329	14628.55475
330	14626.77636
331	14610.68871
332	14587.9219
333	14559.61404
334	14547.79852
335	14540.49623
336	14538.85164
337	14509.19782
338	14483.2954
339	14477.14009
340	14464.98029
341	14453.40699
342	14438.86786
343	14430.95033
344	14429.56434
345	14417.23265
346	14406.41698
347	14401.9929
348	14385.63045
349	14366.33475
350	14364.76745
351	14348.94964
352	14337.46702
353	14335.79394
354	14322.67269
355	14321.35176
356	14305.5519
357	14298.72369
358	14296.20897
359	14274.27061
360	14265.26057
361	14264.282
362	14249.48261
363	14236.57533
364	14225.05825
365	14199.43348
