iter	Passed	Remaining
0	30	30508
1	62	31349
2	98	32843
3	142	35430
4	187	37397
5	248	41199
6	304	43249
7	365	45291
8	425	46835
9	492	48787
10	551	49609
11	617	50845
12	682	51821
13	737	51918
14	786	51674
15	847	52112
16	910	52640
17	973	53098
18	1035	53481
19	1102	54008
20	1159	54070
21	1225	54465
22	1284	54572
23	1345	54730
24	1408	54917
25	1464	54880
26	1524	54930
27	1589	55187
28	1638	54859
29	1666	53898
30	1721	53825
31	1778	53797
32	1844	54051
33	1903	54088
34	1965	54179
35	2027	54299
36	2091	54438
37	2151	54457
38	2221	54745
39	2282	54770
40	2345	54853
41	2403	54812
42	2458	54709
43	2515	54647
44	2567	54496
45	2618	54303
46	2679	54324
47	2736	54274
48	2771	53791
49	2824	53667
50	2883	53654
51	2947	53743
52	3005	53697
53	3064	53693
54	3128	53759
55	3190	53775
56	3246	53701
57	3303	53659
58	3352	53472
59	3423	53641
60	3479	53564
61	3521	53281
62	3581	53263
63	3627	53059
64	3683	52989
65	3726	52731
66	3763	52414
67	3798	52058
68	3832	51713
69	3864	51345
70	3895	50968
71	3937	50743
72	3995	50733
73	4056	50764
74	4088	50430
75	4123	50129
76	4154	49796
77	4194	49579
78	4243	49471
79	4308	49552
80	4346	49319
81	4378	49021
82	4414	48774
83	4469	48740
84	4529	48753
85	4594	48833
86	4652	48826
87	4715	48867
88	4781	48938
89	4836	48905
90	4890	48853
91	4945	48811
92	4993	48697
93	5052	48700
94	5110	48685
95	5181	48789
96	5250	48876
97	5304	48822
98	5362	48802
99	5431	48885
100	5495	48913
101	5556	48917
102	5615	48900
103	5682	48958
104	5750	49017
105	5806	48973
106	5839	48736
107	5872	48505
108	5905	48276
109	5944	48100
110	5993	48002
111	6049	47960
112	6094	47842
113	6131	47649
114	6165	47447
115	6201	47256
116	6237	47072
117	6284	46976
118	6349	47009
119	6430	47160
120	6492	47166
121	6550	47143
122	6612	47149
123	6676	47169
124	6733	47131
125	6791	47110
126	6841	47027
127	6894	46965
128	6953	46950
129	7006	46888
130	7069	46895
131	7132	46899
132	7189	46869
133	7248	46842
134	7312	46856
135	7375	46856
136	7434	46833
137	7496	46826
138	7560	46829
139	7621	46819
140	7669	46723
141	7701	46533
142	7733	46344
143	7766	46164
144	7805	46025
145	7837	45844
146	7871	45677
147	7906	45518
148	7941	45354
149	7975	45192
150	8018	45083
151	8082	45093
152	8128	44996
153	8169	44880
154	8211	44763
155	8244	44607
156	8278	44449
157	8314	44307
158	8348	44158
159	8398	44094
160	8456	44070
161	8510	44024
162	8546	43887
163	8579	43734
164	8612	43585
165	8647	43447
166	8697	43384
167	8743	43299
168	8776	43155
