MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Bsmt_Baths,Baths,Total_SF_Floors,Pool_Presence,Porch_Presence,Porch_Area,Mean_Price_Neigh
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,141,31770,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,North_Ames,Norm,1,OneFam,One_Story,4,3,1960,1960,Hip,1,BrkFace,Plywood,Stone,112,0,1,CBlock,2,4,4,4,2,1,0,441,1080,GasA,2,Y,1656,0,0,3,1,1,7,Typ,2,4,Attchd,Fin,528,2,2,Partial_Pavement,210,None,0,5,2010,WD ,Normal,215000,1.0,1.0,1656.0,0.0,1.0,63.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_High_Density,80,11622,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Feedr,1,OneFam,One_Story,3,4,1961,1961,Gable,1,VinylSd,VinylSd,None,0,0,1,CBlock,2,2,1,3,6,2,144,270,882,GasA,1,Y,896,0,0,2,1,1,5,Typ,0,0,Attchd,Unf,730,2,2,Paved,140,None,0,6,2010,WD ,Normal,105000,0.0,1.0,896.0,0.0,1.0,0.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,14267,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,North_Ames,Norm,1,OneFam,One_Story,4,4,1958,1958,Hip,1,Wd Sdng,Wd Sdng,BrkFace,108,0,1,CBlock,2,2,1,5,1,1,0,406,1329,GasA,1,Y,1329,0,0,3,1,3,6,Typ,0,0,Attchd,Unf,312,2,2,Paved,393,Gar2,12500,6,2010,WD ,Normal,172000,0.0,2.0,1329.0,0.0,1.0,37.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93,11160,1,0,Regular,Lvl,1,Corner,Gtl,North_Ames,Norm,1,OneFam,One_Story,6,3,1968,1968,Hip,1,BrkFace,BrkFace,None,0,2,1,CBlock,2,2,1,5,1,1,0,1045,2110,GasA,4,Y,2110,0,0,3,1,4,8,Typ,2,2,Attchd,Fin,522,2,2,Paved,0,None,0,4,2010,WD ,Normal,244000,1.0,3.0,2110.0,0.0,0.0,0.0,145097.34988713317
Two_Story_1946_and_Newer,Residential_Low_Density,74,13830,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,3,3,1997,1998,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,6,3,1,0,137,928,GasA,3,Y,928,701,0,3,1,1,6,Typ,1,2,Attchd,Fin,482,2,2,Paved,212,None,0,3,2010,WD ,Normal,189900,0.0,3.0,1629.0,0.0,1.0,35.0,190646.57575757575
Two_Story_1946_and_Newer,Residential_Low_Density,78,9978,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,4,4,1998,1998,Gable,1,VinylSd,VinylSd,BrkFace,20,0,1,PConc,2,2,1,6,3,1,0,324,926,GasA,4,Y,926,678,0,3,1,3,7,Typ,1,4,Attchd,Fin,470,2,2,Paved,360,None,0,6,2010,WD ,Normal,195500,0.0,3.0,1604.0,0.0,1.0,37.0,190646.57575757575
One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,4920,1,0,Regular,Lvl,1,Inside,Gtl,Stone_Brook,Norm,1,TwnhsE,One_Story,7,3,2001,2001,Gable,1,CemntBd,CmentBd,None,0,2,1,PConc,4,2,2,6,3,1,0,722,1338,GasA,4,Y,1338,0,0,2,1,3,6,Typ,0,0,Attchd,Fin,582,2,2,Paved,0,None,0,4,2010,WD ,Normal,213500,1.0,2.0,1338.0,0.0,1.0,171.0,324229.1960784314
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,5005,1,0,Slightly_Irregular,HLS,1,Inside,Gtl,Stone_Brook,Norm,1,TwnhsE,One_Story,7,3,1992,1992,Gable,1,HdBoard,HdBoard,None,0,2,1,PConc,4,2,1,5,1,1,0,1017,1280,GasA,4,Y,1280,0,0,2,1,3,5,Typ,0,0,Attchd,RFn,506,2,2,Paved,0,None,0,1,2010,WD ,Normal,191500,0.0,2.0,1280.0,0.0,1.0,82.0,324229.1960784314
One_Story_PUD_1946_and_Newer,Residential_Low_Density,39,5389,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Stone_Brook,Norm,1,TwnhsE,One_Story,7,3,1995,1996,Gable,1,CemntBd,CmentBd,None,0,2,1,PConc,4,2,1,6,3,1,0,415,1595,GasA,4,Y,1616,0,0,2,1,3,5,Typ,1,2,Attchd,RFn,608,2,2,Paved,237,None,0,3,2010,WD ,Normal,236500,1.0,2.0,1616.0,0.0,1.0,153.0,324229.1960784314
Two_Story_1946_and_Newer,Residential_Low_Density,60,7500,1,0,Regular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,6,3,1999,1999,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,2,2,1,1,7,1,0,994,994,GasA,3,Y,1028,776,0,3,1,3,7,Typ,1,2,Attchd,Fin,442,2,2,Paved,140,None,0,6,2010,WD ,Normal,189000,0.0,3.0,1804.0,0.0,1.0,61.0,190646.57575757575
Two_Story_1946_and_Newer,Residential_Low_Density,75,10000,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,Gilbert,Norm,1,OneFam,Two_Story,4,3,1993,1994,Gable,1,HdBoard,HdBoard,None,0,0,1,PConc,4,2,1,1,7,1,0,763,763,GasA,3,Y,763,892,0,3,1,1,7,Typ,1,2,Attchd,Fin,440,2,2,Paved,157,None,0,4,2010,WD ,Normal,175900,0.0,3.0,1655.0,0.0,1.0,85.0,190646.57575757575
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,7980,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,One_Story,4,6,1992,2007,Gable,1,HdBoard,HdBoard,None,0,0,3,PConc,4,2,1,5,1,1,0,233,1168,GasA,4,Y,1187,0,0,3,1,1,6,Typ,0,0,Attchd,Fin,420,2,2,Paved,483,Shed,500,3,2010,WD ,Normal,185000,1.0,2.0,1187.0,0.0,1.0,22.0,190646.57575757575
Two_Story_1946_and_Newer,Residential_Low_Density,63,8402,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,4,3,1998,1998,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,1,7,1,0,789,789,GasA,3,Y,789,676,0,3,1,1,7,Typ,1,4,Attchd,Fin,393,2,2,Paved,0,None,0,5,2010,WD ,Normal,180400,0.0,3.0,1465.0,0.0,1.0,76.0,190646.57575757575
