MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Bsmt_Baths,Baths,Total_SF_Floors,Pool_Presence,Porch_Presence,Porch_Area,Mean_Price_Neigh,Actual Value,Predicted Value,Difference
Two_Story_1946_and_Newer,Residential_Low_Density,70,11606,1,0,Slightly_Irregular,HLS,1,Inside,Sev,North_Ames,Norm,1,OneFam,Two_Story,3,3,1969,1969,Gable,1,Plywood,Plywood,BrkFace,192,0,1,PConc,4,2,3,3,6,1,0,390,1040,GasA,1,Y,1040,1040,0,5,1,2,9,Typ,2,2,Attchd,Unf,504,2,2,Paved,335,None,0,9,2007,WD ,Family,1.0,3.0,2080.0,0.0,0.0,0.0,145097.34988713317,135000,193071.41784694715,58071.41784694715
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,50,6000,1,0,Regular,Lvl,1,Inside,Gtl,Old_Town,Norm,1,OneFam,One_and_Half_Fin,3,6,1924,1950,Gable,1,MetalSd,MetalSd,BrkFace,145,0,3,PConc,2,2,1,1,7,1,0,816,816,GasA,4,Y,816,750,0,5,1,3,7,Typ,0,0,Detchd,Unf,450,2,2,Paved,24,None,0,8,2006,WD ,Normal,0.0,2.0,1566.0,0.0,1.0,297.0,123991.89121338911,139000,142685.03587670816,3685.0358767081634
Duplex_All_Styles_and_Ages,Residential_Low_Density,100,25000,1,0,Regular,Low,1,Inside,Gtl,Mitchell,Norm,1,Duplex,One_Story,3,2,1967,1967,Gable,1,HdBoard,Plywood,None,0,0,1,CBlock,2,2,3,1,7,1,0,1632,1632,GasA,1,Y,1632,0,0,4,2,1,8,Typ,0,0,Attchd,Unf,576,2,2,Partial_Pavement,0,None,0,6,2007,WD ,Normal,0.0,2.0,1632.0,0.0,0.0,0.0,162226.63157894736,143000,147832.91289905505,4832.912899055053
Two_Story_1946_and_Newer,Residential_Low_Density,72,7200,1,0,Regular,Lvl,1,Inside,Gtl,Edwards,Norm,1,OneFam,Two_Story,4,6,1976,2001,Hip,1,Plywood,Plywood,None,0,0,1,CBlock,2,2,3,5,1,1,0,396,684,GasA,1,Y,684,714,0,3,1,1,6,Typ,1,2,Attchd,Fin,440,2,2,Paved,0,None,0,2,2008,WD ,Normal,0.0,2.0,1398.0,0.0,0.0,0.0,130843.38144329896,160500,154030.38388882848,6469.616111171519
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,7024,1,0,Regular,Lvl,1,Inside,Gtl,Edwards,Norm,1,OneFam,One_Story,3,3,2005,2006,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,5,4,1,5,1,1,0,110,1090,GasA,3,Y,1090,0,0,2,1,1,5,Typ,0,0,Attchd,Fin,450,2,2,Paved,0,None,0,6,2007,WD ,Normal,1.0,2.0,1090.0,0.0,1.0,50.0,130843.38144329896,157000,155773.72619850535,1226.2738014946517
Two_Family_conversion_All_Styles_and_Ages,C_all,60,7200,1,0,Regular,Lvl,1,Corner,Gtl,Old_Town,Norm,1,TwoFmCon,Two_and_Half_Unf,4,4,1910,1998,Hip,1,MetalSd,MetalSd,None,0,0,1,BrkTil,2,3,2,3,6,1,0,168,1214,GasW,4,N,1260,1031,0,4,2,1,9,Typ,1,4,Detchd,Unf,506,2,2,Paved,0,None,0,11,2007,WD ,Normal,1.0,2.0,2291.0,0.0,1.0,0.0,123991.89121338911,133900,166052.16141345538,32152.161413455382
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,1,0,Regular,Lvl,1,Inside,Gtl,Briardale,Norm,1,Twnhs,Two_Story,3,3,1971,1971,Gable,1,HdBoard,HdBoard,BrkFace,492,0,1,CBlock,2,2,1,3,6,1,0,225,525,GasA,1,Y,525,567,0,3,1,1,6,Typ,0,0,Detchd,Unf,320,2,2,Paved,0,None,0,3,2010,WD ,Normal,0.0,2.0,1092.0,0.0,0.0,0.0,105608.33333333331,105500,97712.44933649323,7787.550663506772
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,40,5680,1,1,Regular,Lvl,1,Inside,Gtl,Old_Town,Norm,1,OneFam,One_and_Half_Fin,3,5,1901,1950,Gable,1,AsbShng,AsbShng,None,0,0,1,CBlock,2,2,1,1,7,1,0,969,969,GasA,1,N,969,245,0,2,1,1,6,Typ,0,0,Detchd,Unf,216,2,2,Dirt_Gravel,0,None,0,9,2007,WD ,AdjLand,0.0,1.0,1214.0,0.0,1.0,78.0,123991.89121338911,117000,91922.78841613635,25077.211583863653
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,9768,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,3,1955,1955,Gable,1,Wd Sdng,Wd Sdng,None,0,0,1,CBlock,2,2,1,3,6,5,247,613,960,GasA,3,Y,960,0,0,2,1,1,5,Typ,0,0,Attchd,RFn,330,2,2,Paved,0,None,0,2,2009,WD ,Normal,1.0,1.0,960.0,0.0,1.0,71.0,145097.34988713317,122000,120929.28993040335,1070.710069596651
Two_Story_1945_and_Older,Residential_High_Density,0,12155,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,South_and_West_of_Iowa_State_University,Norm,1,OneFam,Two_Story,4,7,1925,1950,Gable,1,Wd Sdng,Wd Sdng,None,0,0,1,BrkTil,2,2,1,4,2,1,0,516,672,GasA,1,N,810,672,0,4,1,2,7,Typ,0,0,Detchd,Unf,400,2,2,Partial_Pavement,0,None,0,3,2008,WD ,Normal,0.0,2.0,1482.0,0.0,1.0,255.0,135071.9375,140000,133231.5964734899,6768.403526510112
Two_Story_1946_and_Newer,Residential_Low_Density,59,9171,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,6,3,2004,2005,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,3,1,7,1,0,848,848,GasA,4,Y,848,750,0,3,1,3,7,Typ,1,4,Attchd,Fin,433,2,2,Paved,100,None,0,7,2006,WD ,Normal,0.0,3.0,1598.0,0.0,1.0,49.0,190646.57575757572,201490,189371.1014055492,12118.898594450788
Two_Story_1945_and_Older,Residential_Low_Density,0,24090,1,0,Regular,Lvl,1,Inside,Gtl,Clear_Creek,Norm,1,OneFam,Two_Story,6,6,1940,1950,Gable,1,MetalSd,MetalSd,None,0,0,3,CBlock,2,2,2,1,7,1,0,1032,1032,GasA,4,Y,1207,1196,0,4,1,1,10,Typ,2,2,Attchd,Unf,349,2,2,Paved,56,None,0,6,2010,COD,Normal,0.0,2.0,2403.0,0.0,1.0,319.0,208662.0909090909,244400,230646.38093972421,13753.619060275785
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,36,2592,1,0,Regular,Lvl,1,Inside,Gtl,Meadow_Village,Norm,1,TwnhsE,Two_Story,3,5,1976,1976,Gable,1,CemntBd,CmentBd,None,0,0,1,CBlock,4,2,1,3,6,4,232,175,536,GasA,1,Y,536,576,0,3,1,1,4,Typ,0,0,Attchd,Unf,336,2,2,Paved,182,None,0,4,2010,WD ,Normal,0.0,2.0,1112.0,0.0,0.0,0.0,95756.48648648648,85000,92037.75838551093,7037.758385510926
Split_or_Multilevel,Residential_Low_Density,55,10780,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,College_Creek,Norm,1,OneFam,SLvl,3,3,1976,1976,Gable,1,MetalSd,MetalSd,None,0,0,1,CBlock,2,2,3,5,1,1,0,428,911,GasA,3,Y,954,0,0,3,1,1,6,Typ,0,0,Detchd,Unf,576,2,2,Paved,0,None,0,7,2006,WD ,Normal,0.0,1.0,954.0,0.0,0.0,0.0,201803.43445692884,132500,132042.45356018993,457.54643981007393
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,11305,1,0,Regular,Lvl,1,Inside,Gtl,Timberland,Norm,1,OneFam,One_Story,7,3,2002,2002,Hip,1,VinylSd,VinylSd,BrkFace,886,2,1,PConc,4,2,3,6,3,1,0,593,1922,GasA,4,Y,1922,0,0,2,1,3,6,Typ,1,5,Attchd,Fin,692,2,2,Paved,201,None,0,4,2007,WD ,Normal,1.0,2.0,1922.0,0.0,1.0,65.0,246599.54166666663,282000,310003.4088719373,28003.40887193731
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9600,1,0,Regular,Lvl,1,Inside,Gtl,Northwest_Ames,Norm,1,OneFam,One_Story,6,3,1969,1969,Hip,1,HdBoard,HdBoard,BrkFace,168,0,1,CBlock,2,2,1,1,7,1,0,1164,1164,GasA,1,Y,1164,0,0,3,1,1,6,Typ,0,0,Attchd,Unf,528,2,2,Paved,0,None,0,7,2006,COD,Normal,0.0,2.0,1164.0,0.0,0.0,0.0,188406.90839694656,140000,147347.41096559181,7347.410965591815
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,10994,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,Sawyer_West,Norm,1,OneFam,One_Story,7,3,2005,2006,Gable,1,VinylSd,VinylSd,Stone,366,2,1,PConc,4,4,1,6,3,1,0,868,1844,GasA,4,Y,1844,0,0,2,1,3,7,Typ,1,4,Attchd,Fin,620,2,2,Paved,165,None,0,9,2009,COD,Abnorml,1.0,2.0,1844.0,0.0,1.0,45.0,184070.184,257000,257659.31909739488,659.3190973948804
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,44,5306,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Stone_Brook,Norm,1,TwnhsE,Two_Story,6,6,1987,1987,Gable,1,HdBoard,HdBoard,None,0,2,3,PConc,4,4,1,6,3,3,215,354,1064,GasA,3,Y,1064,703,0,2,1,3,5,Typ,1,2,Attchd,RFn,504,4,2,Paved,441,None,0,6,2006,WD ,Normal,1.0,2.0,1767.0,0.0,1.0,36.0,324229.1960784314,239000,205046.0340068747,33953.96599312531
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,67,8877,1,0,Regular,Lvl,1,Inside,Gtl,Edwards,Norm,1,OneFam,One_Story,2,3,1951,1951,Gable,1,Wd Sdng,Wd Sdng,None,0,0,1,CBlock,3,3,1,2,4,1,0,0,836,GasA,1,Y,1220,0,0,2,1,1,6,Typ,0,0,Detchd,Unf,396,2,2,Paved,0,None,0,4,2006,COD,Normal,0.0,1.0,1220.0,0.0,0.0,0.0,130843.38144329896,102000,106436.6247912273,4436.624791227296
Split_or_Multilevel,Residential_Low_Density,76,9967,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,SLvl,6,3,2000,2000,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,1,7,1,0,384,384,GasA,4,Y,774,656,0,3,1,1,8,Typ,1,2,BuiltIn,RFn,400,2,2,Paved,100,None,0,12,2007,WD ,Normal,0.0,3.0,1430.0,0.0,0.0,0.0,190646.57575757572,170000,163106.61056513278,6893.389434867218
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,52,6292,1,0,Regular,Lvl,1,Inside,Gtl,South_and_West_of_Iowa_State_University,Norm,1,OneFam,One_and_Half_Fin,6,6,1928,1950,Gable,1,Wd Sdng,Wd Sdng,None,0,0,1,BrkTil,2,2,1,1,7,1,0,861,861,GasA,3,Y,877,600,0,3,1,1,6,Typ,1,4,Detchd,Unf,216,2,2,Paved,0,None,0,8,2009,WD ,Normal,1.0,2.0,1477.0,0.0,1.0,51.0,135071.9375,145000,151602.38451415117,6602.38451415117
Duplex_All_Styles_and_Ages,Residential_Low_Density,72,10773,1,0,Regular,Lvl,1,Inside,Gtl,Sawyer,Norm,1,Duplex,One_Story,2,5,1967,1967,Gable,0,Plywood,Plywood,BrkFace,72,1,2,CBlock,2,2,1,5,1,1,0,1128,1832,GasA,1,N,1832,0,0,4,2,1,8,Typ,0,0,No_Garage,No_Garage,0,0,0,Paved,0,None,0,5,2010,WD ,Normal,2.0,2.0,1832.0,0.0,1.0,59.0,136751.1523178808,136000,143556.38563352748,7556.385633527476
Two_Story_PUD_1946_and_Newer,Floating_Village_Residential,0,2998,1,0,Regular,Lvl,1,Inside,Gtl,Somerset,Norm,1,TwnhsE,Two_Story,4,3,2000,2000,Gable,1,MetalSd,MetalSd,BrkFace,513,2,1,PConc,4,2,1,6,3,1,0,403,756,GasA,4,Y,768,756,0,2,1,3,4,Typ,0,0,Detchd,Unf,440,2,2,Paved,0,None,0,6,2006,WD ,Normal,0.0,3.0,1524.0,0.0,1.0,33.0,229707.32417582415,166000,171730.5590034952,5730.559003495204
One_and_Half_Story_Finished_All_Ages,C_all,105,8470,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,Iowa_DOT_and_Rail_Road,Feedr,0,OneFam,One_and_Half_Fin,5,1,1915,1982,Hip,1,Plywood,Plywood,None,0,1,2,CBlock,2,3,1,1,7,1,0,1013,1013,GasA,1,N,1013,0,513,2,1,2,6,Typ,0,0,No_Garage,No_Garage,0,0,0,Dirt_Gravel,0,None,0,10,2009,ConLD,Abnorml,0.0,1.0,1013.0,0.0,1.0,157.0,103752.90322580644,85000,54702.9879519972,30297.012048002798
Split_or_Multilevel,Residential_Low_Density,0,7750,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,SLvl,6,3,2000,2000,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,6,3,1,0,134,384,GasA,4,Y,774,656,0,3,1,1,7,Typ,1,2,BuiltIn,Fin,400,2,2,Paved,180,None,0,4,2010,WD ,Normal,0.0,3.0,1430.0,0.0,0.0,0.0,190646.57575757572,180000,169702.22395440677,10297.77604559323
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,9750,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,OneFam,One_Story,4,4,1958,1958,Gable,1,MetalSd,MetalSd,BrkFace,243,0,1,CBlock,2,2,1,3,6,1,0,834,1442,GasA,3,Y,1442,0,0,4,1,1,7,Typ,0,0,Attchd,RFn,301,2,2,Paved,0,Shed,500,4,2007,COD,Normal,0.0,2.0,1442.0,0.0,1.0,276.0,145097.34988713317,157900,154094.47059985372,3805.5294001462753
Two_Story_1946_and_Newer,Residential_Low_Density,79,10208,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge,Norm,1,OneFam,Two_Story,6,3,1996,1997,Gable,1,VinylSd,VinylSd,BrkFace,921,2,1,PConc,4,2,1,1,7,1,0,1264,1264,GasA,4,Y,1277,1067,0,3,1,3,7,Typ,1,2,Attchd,RFn,889,2,2,Paved,220,None,0,7,2009,WD ,Normal,0.0,3.0,2344.0,0.0,0.0,0.0,330319.1267605634,265000,281449.5254318047,16449.52543180471
Two_Story_1946_and_Newer,Residential_Low_Density,80,9760,1,0,Regular,Lvl,1,Inside,Mod,North_Ames,Norm,1,OneFam,Two_Story,4,4,1964,1964,Gable,1,HdBoard,HdBoard,BrkFace,360,0,1,CBlock,2,2,4,6,3,2,106,0,780,GasA,1,Y,798,813,0,4,1,1,7,Typ,0,0,Attchd,RFn,442,2,2,Paved,328,None,0,6,2008,WD ,Normal,1.0,2.0,1611.0,0.0,1.0,128.0,145097.34988713317,167900,179803.75876844936,11903.758768449363
Split_or_Multilevel,Residential_Low_Density,0,10784,1,0,Slightly_Irregular,Lvl,1,FR2,Gtl,Gilbert,Norm,1,OneFam,SLvl,6,3,1991,1992,Gable,1,HdBoard,HdBoard,BrkFace,76,2,1,PConc,4,2,1,1,7,1,0,384,384,GasA,3,Y,802,670,0,3,1,3,7,Typ,1,2,Attchd,RFn,402,2,2,Paved,164,None,0,5,2007,WD ,Normal,0.0,3.0,1472.0,0.0,0.0,0.0,190646.57575757572,160000,168517.78243316812,8517.782433168119
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,76,8243,1,0,Slightly_Irregular,Lvl,1,CulDSac,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,6,1961,1961,Gable,1,VinylSd,VinylSd,BrkFace,56,0,3,CBlock,2,2,1,5,1,1,0,264,964,GasA,4,Y,964,0,0,3,1,1,5,Typ,1,3,Detchd,Fin,784,2,2,Paved,170,None,0,2,2007,WD ,Normal,0.0,1.0,964.0,0.0,0.0,0.0,145097.34988713317,137500,143164.01246723457,5664.01246723457
Two_Story_1946_and_Newer,Residential_Low_Density,100,9500,1,0,Regular,Lvl,1,Corner,Gtl,North_Ames,Artery,1,OneFam,Two_Story,4,4,1964,1978,Gable,1,VinylSd,VinylSd,BrkCmn,272,0,1,CBlock,2,2,1,3,6,1,0,374,816,GasA,1,Y,1127,850,0,4,1,1,9,Typ,1,2,Attchd,RFn,540,2,2,Paved,0,None,0,6,2007,WD ,Normal,1.0,2.0,1977.0,0.0,1.0,53.0,145097.34988713317,165000,173372.57803289843,8372.578032898426
Two_Story_1946_and_Newer,Residential_Low_Density,0,11029,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,Northwest_Ames,PosA,1,OneFam,Two_Story,4,6,1968,1984,Gable,1,HdBoard,HdBoard,BrkFace,220,0,1,CBlock,2,2,2,4,2,1,0,435,1054,GasA,1,Y,1512,1142,0,4,1,3,9,Typ,1,4,Attchd,Unf,619,2,2,Paved,0,None,0,8,2006,WD ,Normal,1.0,3.0,2654.0,0.0,1.0,65.0,188406.90839694656,250000,246812.01398165137,3187.9860183486308
Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,80,8800,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,RRAn,1,TwoFmCon,One_Story,4,6,1965,2000,Hip,1,BrkFace,VinylSd,None,0,0,3,PConc,2,2,2,5,1,4,252,34,1187,GasA,4,Y,1565,0,0,3,1,3,7,Min1,2,2,Attchd,RFn,299,2,2,Paved,200,Shed,460,6,2006,WD ,Abnorml,1.0,2.0,1565.0,0.0,1.0,237.0,145097.34988713317,185900,172371.62454737275,13528.375452627253
One_Story_PUD_1946_and_Newer,Floating_Village_Residential,0,4765,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Somerset,Norm,1,TwnhsE,One_Story,8,3,2000,2000,Hip,1,MetalSd,MetalSd,BrkFace,260,2,1,PConc,4,2,3,6,3,1,0,587,1614,GasA,4,Y,1638,0,0,2,1,4,5,Typ,1,2,Attchd,Fin,495,2,2,Paved,230,None,0,7,2008,WD ,Normal,1.0,2.0,1638.0,0.0,1.0,69.0,229707.32417582415,300000,272263.9978839532,27736.002116046788
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11120,1,0,Slightly_Irregular,Lvl,1,CulDSac,Gtl,Veenker,Norm,1,OneFam,One_Story,4,4,1984,1984,Gable,1,Plywood,Plywood,None,0,0,1,PConc,4,2,1,4,2,1,0,572,1232,GasA,1,Y,1232,0,0,3,1,1,6,Typ,0,0,Attchd,Unf,516,2,2,Paved,0,None,0,6,2008,WD ,Normal,0.0,2.0,1232.0,0.0,0.0,0.0,248314.5833333333,162500,159671.84476314284,2828.1552368571574
Split_Foyer,Residential_Low_Density,50,7689,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Mitchell,Norm,1,OneFam,SFoyer,3,7,1972,1972,Gable,1,MetalSd,MetalSd,None,0,0,1,CBlock,4,2,3,6,3,4,76,0,796,GasA,3,Y,796,0,0,2,1,1,4,Typ,0,0,Detchd,Unf,336,2,2,Paved,138,None,0,7,2009,WD ,Normal,1.0,1.0,796.0,0.0,0.0,0.0,162226.63157894736,131900,131407.90617558008,492.09382441992057
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,9533,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,3,1953,1953,Hip,1,Wd Sdng,Wd Sdng,BrkFace,140,0,1,Slab,0,0,0,0,5,0,0,0,0,GasA,1,Y,1210,0,0,2,1,1,7,Typ,0,0,Attchd,Fin,616,2,2,Paved,208,None,0,8,2009,ConLD,Normal,0.0,2.0,1210.0,0.0,1.0,101.0,145097.34988713317,102900,123006.47102384857,20106.47102384857
One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,7390,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,TwnhsE,One_Story,8,3,2008,2009,Hip,1,MetalSd,MetalSd,BrkFace,308,3,1,PConc,5,2,1,6,3,1,0,1084,1884,GasA,4,Y,1884,0,0,2,1,4,6,Typ,1,4,Attchd,Fin,649,2,2,Paved,231,None,0,5,2009,New,Partial,1.0,2.0,1884.0,0.0,1.0,91.0,322018.265060241,320000,348922.5335888956,28922.533588895574
