Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Area,Garage_Cond,Wood_Deck_SF,Mo_Sold,Year_Sold,Bsmt_Baths,Baths,Total_SF_Floors,Porch_Area,Mean_Price_Neigh,MS_SubClass_One_Story_1945_and_Older,MS_Zoning_Residential_Low_Density,Lot_Shape_Regular,Land_Contour_HLS,Lot_Config_Corner,Lot_Config_Inside,Land_Slope_Gtl,Roof_Style_Gable,Exterior_1st_Wd Sdng,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Mas_Vnr_Type_Stone,Foundation_CBlock,Central_Air_N,Garage_Type_Attchd,Garage_Finish_RFn,Paved_Drive_Dirt_Gravel,Paved_Drive_Paved,Sale_Type_WD ,Sale_Condition_Abnorml,Sale_Condition_Family,Sale_Condition_Normal,Actual Value,Predicted Value,Difference
70,11606,3,3,1969,1969,192,0,1,4,2,3,3,6,390,1040,1,1040,1040,5,2,9,2,2,504,2,335,9,2007,1.0,3.0,2080.0,0.0,145097.34988713317,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,135000,149307.8651685393,14307.865168539312
50,6000,3,6,1924,1950,145,0,3,2,2,1,1,7,816,816,4,816,750,5,3,7,0,0,450,2,24,8,2006,0.0,2.0,1566.0,297.0,123991.89121338911,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,139000,149307.8651685393,10307.865168539312
100,25000,3,2,1967,1967,0,0,1,2,2,3,1,7,1632,1632,1,1632,0,4,1,8,0,0,576,2,0,6,2007,0.0,2.0,1632.0,0.0,162226.63157894736,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,143000,169210.86956521738,26210.869565217377
72,7200,4,6,1976,2001,0,0,1,2,2,3,5,1,396,684,1,684,714,3,1,6,1,2,440,2,0,2,2008,0.0,2.0,1398.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,160500,131364.54104477612,29135.458955223876
60,7024,3,3,2005,2006,0,0,1,5,4,1,5,1,110,1090,3,1090,0,2,1,5,0,0,450,2,0,6,2007,1.0,2.0,1090.0,50.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,157000,131364.54104477612,25635.458955223876
60,7200,4,4,1910,1998,0,0,1,2,3,2,3,6,168,1214,4,1260,1031,4,1,9,1,4,506,2,0,11,2007,1.0,2.0,2291.0,0.0,123991.89121338911,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,133900,163127.15,29227.149999999994
21,1680,3,3,1971,1971,492,0,1,2,2,1,3,6,225,525,1,525,567,3,1,6,0,0,320,2,0,3,2010,0.0,2.0,1092.0,0.0,105608.33333333331,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,105500,131364.54104477612,25864.541044776124
40,5680,3,5,1901,1950,0,0,1,2,2,1,1,7,969,969,1,969,245,2,1,6,0,0,216,2,0,9,2007,0.0,1.0,1214.0,78.0,123991.89121338911,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,117000,103526.15584415584,13473.844155844155
68,9768,3,3,1955,1955,0,0,1,2,2,1,3,6,613,960,3,960,0,2,1,5,0,0,330,2,0,2,2009,1.0,1.0,960.0,71.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,122000,131364.54104477612,9364.541044776124
0,12155,4,7,1925,1950,0,0,1,2,2,1,4,2,516,672,1,810,672,4,2,7,0,0,400,2,0,3,2008,0.0,2.0,1482.0,255.0,135071.9375,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,140000,149307.8651685393,9307.865168539312
59,9171,6,3,2004,2005,0,2,1,4,2,3,1,7,848,848,4,848,750,3,3,7,1,4,433,2,100,7,2006,0.0,3.0,1598.0,49.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,201490,174186.35519125682,27303.644808743178
0,24090,6,6,1940,1950,0,0,3,2,2,2,1,7,1032,1032,4,1207,1196,4,1,10,2,2,349,2,56,6,2010,0.0,2.0,2403.0,319.0,208662.0909090909,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,244400,253089.22727272726,8689.227272727265
36,2592,3,5,1976,1976,0,0,1,4,2,1,3,6,175,536,1,536,576,3,1,4,0,0,336,2,182,4,2010,0.0,2.0,1112.0,0.0,95756.48648648648,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,85000,131364.54104477612,46364.541044776124
55,10780,3,3,1976,1976,0,0,1,2,2,3,5,1,428,911,3,954,0,3,1,6,0,0,576,2,0,7,2006,0.0,1.0,954.0,0.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,132500,143238.88095238095,10738.880952380947
80,11305,7,3,2002,2002,886,2,1,4,2,3,6,3,593,1922,4,1922,0,2,3,6,1,5,692,2,201,4,2007,1.0,2.0,1922.0,65.0,246599.54166666663,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,282000,272497.34,9502.659999999974
80,9600,6,3,1969,1969,168,0,1,2,2,1,1,7,1164,1164,1,1164,0,3,1,6,0,0,528,2,0,7,2006,0.0,2.0,1164.0,0.0,188406.90839694656,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,140000,143238.88095238095,3238.880952380947
88,10994,7,3,2005,2006,366,2,1,4,4,1,6,3,868,1844,4,1844,0,2,3,7,1,4,620,2,165,9,2009,1.0,2.0,1844.0,45.0,184070.184,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,257000,272497.34,15497.340000000026
44,5306,6,6,1987,1987,0,2,3,4,4,1,6,3,354,1064,3,1064,703,2,3,5,1,2,504,2,441,6,2006,1.0,2.0,1767.0,36.0,324229.1960784314,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,239000,253089.22727272726,14089.227272727265
67,8877,2,3,1951,1951,0,0,1,3,3,1,2,4,0,836,1,1220,0,2,1,6,0,0,396,2,0,4,2006,0.0,1.0,1220.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,102000,139674.2048192771,37674.2048192771
76,9967,6,3,2000,2000,0,0,1,4,2,1,1,7,384,384,4,774,656,3,1,8,1,2,400,2,100,12,2007,0.0,3.0,1430.0,0.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,170000,174186.35519125682,4186.355191256822
