Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Area,Garage_Cond,Wood_Deck_SF,Mo_Sold,Year_Sold,Bsmt_Baths,Baths,Total_SF_Floors,Porch_Area,Mean_Price_Neigh,MS_SubClass_One_Story_1945_and_Older,MS_Zoning_Residential_Low_Density,Lot_Shape_Regular,Land_Contour_HLS,Lot_Config_Corner,Lot_Config_Inside,Land_Slope_Gtl,Roof_Style_Gable,Exterior_1st_Wd Sdng,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Mas_Vnr_Type_Stone,Foundation_CBlock,Central_Air_N,Garage_Type_Attchd,Garage_Finish_RFn,Paved_Drive_Dirt_Gravel,Paved_Drive_Paved,Sale_Type_WD ,Sale_Condition_Abnorml,Sale_Condition_Family,Sale_Condition_Normal,Actual Value,Predicted Value,Difference
70,11606,3,3,1969,1969,192,0,1,4,2,3,3,6,390,1040,1,1040,1040,5,2,9,2,2,504,2,335,9,2007,1.0,3.0,2080.0,0.0,145097.34988713317,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,135000,138783.33333333334,3783.333333333343
50,6000,3,6,1924,1950,145,0,3,2,2,1,1,7,816,816,4,816,750,5,3,7,0,0,450,2,24,8,2006,0.0,2.0,1566.0,297.0,123991.89121338911,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,139000,120883.33333333333,18116.66666666667
100,25000,3,2,1967,1967,0,0,1,2,2,3,1,7,1632,1632,1,1632,0,4,1,8,0,0,576,2,0,6,2007,0.0,2.0,1632.0,0.0,162226.63157894736,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,143000,179250.0,36250.0
72,7200,4,6,1976,2001,0,0,1,2,2,3,5,1,396,684,1,684,714,3,1,6,1,2,440,2,0,2,2008,0.0,2.0,1398.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,160500,138350.0,22150.0
60,7024,3,3,2005,2006,0,0,1,5,4,1,5,1,110,1090,3,1090,0,2,1,5,0,0,450,2,0,6,2007,1.0,2.0,1090.0,50.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,157000,119141.66666666667,37858.33333333333
60,7200,4,4,1910,1998,0,0,1,2,3,2,3,6,168,1214,4,1260,1031,4,1,9,1,4,506,2,0,11,2007,1.0,2.0,2291.0,0.0,123991.89121338911,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,133900,137041.66666666666,3141.666666666657
21,1680,3,3,1971,1971,492,0,1,2,2,1,3,6,225,525,1,525,567,3,1,6,0,0,320,2,0,3,2010,0.0,2.0,1092.0,0.0,105608.33333333331,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,105500,96000.0,9500.0
40,5680,3,5,1901,1950,0,0,1,2,2,1,1,7,969,969,1,969,245,2,1,6,0,0,216,2,0,9,2007,0.0,1.0,1214.0,78.0,123991.89121338911,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,117000,105666.66666666667,11333.333333333328
68,9768,3,3,1955,1955,0,0,1,2,2,1,3,6,613,960,3,960,0,2,1,5,0,0,330,2,0,2,2009,1.0,1.0,960.0,71.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,122000,123333.33333333333,1333.3333333333285
0,12155,4,7,1925,1950,0,0,1,2,2,1,4,2,516,672,1,810,672,4,2,7,0,0,400,2,0,3,2008,0.0,2.0,1482.0,255.0,135071.9375,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,140000,149750.0,9750.0
59,9171,6,3,2004,2005,0,2,1,4,2,3,1,7,848,848,4,848,750,3,3,7,1,4,433,2,100,7,2006,0.0,3.0,1598.0,49.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,201490,175900.16666666666,25589.833333333343
0,24090,6,6,1940,1950,0,0,3,2,2,2,1,7,1032,1032,4,1207,1196,4,1,10,2,2,349,2,56,6,2010,0.0,2.0,2403.0,319.0,208662.0909090909,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,244400,215750.0,28650.0
36,2592,3,5,1976,1976,0,0,1,4,2,1,3,6,175,536,1,536,576,3,1,4,0,0,336,2,182,4,2010,0.0,2.0,1112.0,0.0,95756.48648648648,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,85000,102000.0,17000.0
55,10780,3,3,1976,1976,0,0,1,2,2,3,5,1,428,911,3,954,0,3,1,6,0,0,576,2,0,7,2006,0.0,1.0,954.0,0.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,132500,168791.66666666666,36291.66666666666
80,11305,7,3,2002,2002,886,2,1,4,2,3,6,3,593,1922,4,1922,0,2,3,6,1,5,692,2,201,4,2007,1.0,2.0,1922.0,65.0,246599.54166666663,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,282000,312466.6666666667,30466.666666666686
80,9600,6,3,1969,1969,168,0,1,2,2,1,1,7,1164,1164,1,1164,0,3,1,6,0,0,528,2,0,7,2006,0.0,2.0,1164.0,0.0,188406.90839694656,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,140000,165291.66666666666,25291.666666666657
88,10994,7,3,2005,2006,366,2,1,4,4,1,6,3,868,1844,4,1844,0,2,3,7,1,4,620,2,165,9,2009,1.0,2.0,1844.0,45.0,184070.184,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,257000,206313.33333333334,50686.66666666666
44,5306,6,6,1987,1987,0,2,3,4,4,1,6,3,354,1064,3,1064,703,2,3,5,1,2,504,2,441,6,2006,1.0,2.0,1767.0,36.0,324229.1960784314,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,239000,198666.66666666666,40333.33333333334
