Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Area,Garage_Cond,Wood_Deck_SF,Mo_Sold,Year_Sold,Bsmt_Baths,Baths,Total_SF_Floors,Porch_Area,Mean_Price_Neigh,MS_SubClass_One_Story_1945_and_Older,MS_Zoning_Residential_Low_Density,Lot_Shape_Regular,Land_Contour_HLS,Lot_Config_Corner,Lot_Config_Inside,Land_Slope_Gtl,Roof_Style_Gable,Exterior_1st_Wd Sdng,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Mas_Vnr_Type_Stone,Foundation_CBlock,Central_Air_N,Garage_Type_Attchd,Garage_Finish_RFn,Paved_Drive_Dirt_Gravel,Paved_Drive_Paved,Sale_Type_WD ,Sale_Condition_Abnorml,Sale_Condition_Family,Sale_Condition_Normal,Sale_Price
84,9660,7,3,1998,1998,242,2,1,4,2,1,6,3,253,1044,4,1079,897,3,3,7,1,5,885,2,210,2,2006,1.0,3.0,1976.0,32.0,330319.1267605634,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,286000
67,5142,2,6,1923,2008,0,0,1,2,2,1,5,1,725,949,1,949,343,3,3,6,0,0,205,2,0,6,2008,0.0,2.0,1292.0,184.0,130843.38144329896,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,108000
50,9350,3,3,1975,1975,0,0,1,4,2,3,6,3,0,864,2,864,0,2,1,4,0,0,0,0,0,4,2008,1.0,1.0,864.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,99600
80,17120,2,2,1959,1959,0,0,1,0,0,0,0,5,0,0,1,1120,468,4,1,7,1,4,680,2,0,7,2008,0.0,2.0,1588.0,60.0,208662.0909090909,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,134432
75,10084,7,3,2004,2005,186,2,1,5,2,3,6,3,317,1686,4,1694,0,3,3,7,1,4,636,2,255,8,2007,1.0,2.0,1694.0,58.0,229707.32417582415,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,307000
0,36500,3,3,1964,1964,621,0,3,2,2,3,3,6,812,1624,2,1582,0,4,1,7,0,0,390,2,168,6,2006,1.0,2.0,1582.0,199.0,208662.0909090909,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,190000
105,15431,9,3,2005,2006,400,3,1,5,2,4,6,3,564,1994,4,2046,0,2,4,7,2,4,878,2,188,8,2007,1.0,3.0,2046.0,65.0,322018.265060241,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,450000
64,11067,1,2,1939,1950,0,0,1,0,0,0,0,5,0,0,4,640,0,1,1,4,0,0,256,3,48,3,2007,0.0,1.0,640.0,0.0,103752.90322580644,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,68104
0,3621,7,3,2003,2003,72,2,1,4,2,4,6,3,322,1406,4,1589,0,2,3,7,1,2,630,2,143,11,2007,1.0,2.0,1589.0,21.0,196661.67857142855,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,226500
80,9600,3,4,1959,1959,132,0,1,2,2,1,5,1,50,1041,4,1041,0,3,1,6,0,0,270,2,224,7,2009,1.0,1.0,1041.0,89.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,124500
